Train No.,train Name,islno,station Code,Station Name,Arrival time,Departure time,Distance,Source Station Code,source Station Name,Destination station Code,Destination Station Name
'58832',CWA RMO NGP PAS,3,ULA ,UMRA NALA      ,'06:10:00','06:11:00',25,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,4,KFP ,KUKRA KHAPA    ,'06:38:00','06:39:00',36,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,5,MPML,MOHAPANI MAL   ,'07:09:00','07:10:00',41,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,6,BMC ,BHIMALGONDI    ,'07:24:00','07:25:00',50,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,7,GELA,GHADELA        ,'07:36:00','07:37:00',54,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,8,DVH ,DEVI HALT      ,'07:44:00','07:45:00',57,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,9,RMO ,RAMAKONA       ,'07:55:00','07:56:00',62,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,10,SASR,SAUSAR         ,'08:11:00','08:12:00',67,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,11,BDHT,BARDI HALT     ,'08:24:00','08:25:00',75,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,12,LDE ,LOKDHIKHERA    ,'08:38:00','08:39:00',81,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,13,PSK ,PARADSINGA HALT,'08:50:00','08:51:00',86,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,14,SZH ,SAONGA HALT    ,'08:58:00','08:59:00',88,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,15,KLOD,KELOD          ,'09:13:00','09:14:00',95,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,16,SONR,SAONER JN      ,'09:34:00','09:36:00',105,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,17,PSX ,PTNSNGI TWN HLT,'10:00:00','10:01:00',117,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,18,KPKD,KHAPRI KHEDA   ,'10:23:00','10:24:00',129,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,19,KRDH,KORADIH        ,'10:32:00','10:33:00',132,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,20,ITR ,ITWARI         ,'10:56:00','10:58:00',144,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
'58832',CWA RMO NGP PAS,21,NGP ,NAGPUR         ,'11:30:00','00:00:00',148,CWA ,CHHINDWARA JN  ,NGP ,NAGPUR         
